,,,,,,,,,,,
,AMG Inventory list,,,,,,,,,,
,Highlight items to reorder?,,Yes,,,,,,,,
,,,,,,,,,,,
 ,Inventory ID,Name,Description,Quantity in stock,Reorder level,Expiration Date,Quantity in reorder,Expired?,Location,Manufacturer,Notes
,IN0112,1 mL tuberculin,,11,,4/1/27,,,,,
,IN0115,10 cc syringes,,22,,4/1/27,,no,Rooms,,
Reorder,IN0121,10 Surgical Blade,,,,,,,,,
Reorder,IN0122,11 Surgical Blade,,,,,,,,,
,IN0123,15 Surgical Blade,,1,,,,no,,,Each box has 100 blade
,IN0118,18 G Needle,,61,,4/1/27,,no,Rooms,,
,IN0116,20 cc syringes,,4,,,,,Rooms,,
,IN0119,27 G Needle,,62,,,,no,Rooms,,
,IN0268,2xlarge ,Garment,2,,,,,,,
,IN0199,3/4 Drape with Reinforcement fan-folded 53X77,,16,,NA,,no,Storage room,,
,IN0120,30 G Needle,,60,,2/28/27,,no,Rooms,,
,IN0124,4 inch bandage,,1box+ 8 wrap,,,,no,Rooms,,Box +10 wrap
,IN0156,4x4 gause,,12,,NA,,no,Rooms,,Each box has 200
,IN0114,5 cc syringes,,19,,3/2/27,,no,,,
,IN0125,6 inch bandage,,32 wrap ,,,,no,Rooms,,
,IN0117,60 cc syringes,,8,,3/31/28,,no,Rooms,,
,IN0145,ABD pads,,141,,NA,,no,Rooms,,
,IN0161,Acetic Acid ,,13,,1/1/28,,,Rooms,,
,IN0276,Adhesive bandage small ,,3,,NA,,no,Storage Room,,
,IN0176,Adhesive Bandages ,,3,,NA,,no,Storage room,,Each box has 50
,IN0205,Alcohol Liquid ,,9,,3/1/28,,no,Rooms ,,
,IN0173,Alcohol pads ,,1,,,,,,,we have some in rooms 
,IN0174,Alcohol swabs,,1,,,,,,,We have somein rooms
,IN0275,AMG Ice pack,,60,,NA,,no,Freezer,,
,IN0129,Bacitratian ,,2,,7/1/27,,no,Rooms,,144 each box 
,IN0181,Bag Decanter,,9,,NA,,no,Storage room,,
,IN0142,Bandiads ,,6,,NA,,no,rooms,,50 in each box 
,IN0188,Basic pack1 (hand towels),,8,,NA,,no,Storage room,,
,IN0208,BD  chlora prep 10.5 Ml Applicator ,,1,,,,,,,
,IN0209,BD chlora prep 3Ml Applicator ,,4,,,,,,,
,IN0192,BD Vacutainer (safety lok),,1,,NA,,no,Storage room,,Each box has 50
,IN0163,Betadine ,,25,,10/2/25,,,Storage room,,
,IN0137,Big cloth tape ,,4,,,,no,Rooms,,
Reorder,IN0167,bio patches ,,0,,,,,,,
,,Binder Abdominal  2X large,,3,,NA,,,Storage room,,
,,Binder Abdominal X large ,,3,,NA,,,Storage room,,
,IN0191,Biopsy punch (disposable) ,,2,,NA,,no,Storage room,,Each box has 25
,IN0269,Box ort211002 Large  and xlarge ,Garment,3,,,,,,,
,IN0267,Box ortz1300 large and X-large ,Garment,3,,,,,,,
,IN0261,Bra B15 size 36 B/C ,Garment,1,,,,,,,
,IN0259,Bra ISB universal  ,Garment,1,,,,,,,
,IN0260,Bra ISB-05 universal ,Garment,1,,,,,,,
,IN0257,Bra Sientra size large ,Garment,1,,,,,,,
,IN0258,Bra sientra size x-large ,Garment,1,,,,,,,
,IN0101,capes,white capes,200,,NA,,no,Rooms,,200 pices
,IN0152,cavi wipes,,5,,NA,,no,Rooms,,
,IN0172,chloroprep,,43,,NA,,no,Storage closet,,Long 
,IN0178,Chuck,,16,,NA,,no,Storage room,,each has 5
,IN0147,chucks ,,16,,NA,,no,rooms and storage room ,,Each bag has 5
,IN0157,cold packs,,20,,NA,,no,Rooms,,
,IN0266,Compression B19 Vain Bulb management ,Garment,1,,,,,,,
